"publishedAt","dislikeCount","url","id","commentCount","title","viewCount","likeCount"
"2015-04-08T15:57:43.000Z","135","https://www.youtube.com/watch?v=7yxpw-Lqg8A","7yxpw-Lqg8A","440","Inside Amy Schumer - Calling the Cable Company","1018372","6975"
"2015-04-08T15:57:07.000Z","53","https://www.youtube.com/watch?v=UOlELxK83pw","UOlELxK83pw","187","Inside Amy Schumer - Chicks Who Can Hang","742203","3613"
"2015-04-08T15:56:36.000Z","69","https://www.youtube.com/watch?v=CfsAi95ghuU","CfsAi95ghuU","111","Inside Amy Schumer - Slap Chef","508058","2484"
"2014-12-02T23:55:42.000Z","583","https://www.youtube.com/watch?v=ARhyKBNFHmY","ARhyKBNFHmY","426","Inside Amy Schumer - You Can't Go in There","1240415","6298"
"2014-10-29T22:44:27.000Z","345","https://www.youtube.com/watch?v=qZoUoYF7UZM","qZoUoYF7UZM","442","Inside Amy Schumer - Horror Movie","817322","6403"
"2014-10-28T17:03:18.000Z","313","https://www.youtube.com/watch?v=-N39uWjr-u4","-N39uWjr-u4","475","Inside Amy Schumer - Sex Prep","1910036","6205"
"2014-10-21T18:57:48.000Z","230","https://www.youtube.com/watch?v=SY1Bj3uOjIA","SY1Bj3uOjIA","533","Inside Amy Schumer - Boner Doctor","1803651","7247"
"2014-10-14T20:00:48.000Z","83","https://www.youtube.com/watch?v=WfPbguqsops","WfPbguqsops","135","Inside Amy Schumer - How Will This Relationship End?","696217","2991"
"2014-10-09T19:30:23.000Z","219","https://www.youtube.com/watch?v=dTde8nG0KkI","dTde8nG0KkI","391","Inside Amy Schumer - Pretentious Hotel","1591061","6853"
"2014-10-07T22:06:55.000Z","234","https://www.youtube.com/watch?v=6473d-X-PQM","6473d-X-PQM","166","Inside Amy Schumer - Ashley Magdalene","366132","2011"
"2014-10-02T15:34:26.000Z","125","https://www.youtube.com/watch?v=1d4j2kzgr0c","1d4j2kzgr0c","177","Inside Amy Schumer - The Gab","784537","2999"
"2014-09-23T15:21:17.000Z","127","https://www.youtube.com/watch?v=CoCZJ_S4qqM","CoCZJ_S4qqM","232","Inside Amy Schumer - Publicity Stunt","1017268","4133"
"2014-09-18T20:04:24.000Z","135","https://www.youtube.com/watch?v=lnm5RtSaH74","lnm5RtSaH74","203","Inside Amy Schumer - Rhyming Couplets","790855","3964"
"2014-09-16T19:24:13.000Z","123","https://www.youtube.com/watch?v=w98NNwSIQvQ","w98NNwSIQvQ","160","Inside Amy Schumer - Make-A-Wish","659657","3473"
"2014-09-09T14:15:19.000Z","66","https://www.youtube.com/watch?v=yHYFif-_Sdo","yHYFif-_Sdo","175","Inside Amy Schumer - Animal Rescue Hotline","667958","4380"
